4.700000000000000178e+00 4.566666666666666430e+00 5.488888888888888928e+00 9.199999999999999289e+00
4.450000000000000178e+00 4.371428571428571885e+00 5.037500000000000533e+00 6.299999999999999822e+00
4.750000000000000000e+00 4.742857142857142883e+00 5.312499999999999112e+00 7.500000000000000000e+00
6.000000000000000000e+00 5.571428571428571175e+00 7.966666666666666785e+00 8.699999999999999289e+00
4.250000000000000000e+00 4.571428571428571175e+00 5.412499999999999645e+00 5.400000000000001243e+00
4.500000000000000000e+00 2.348000000000000043e+01 5.145454545454545503e+00 6.000000000000000000e+00
5.400000000000000355e+00 4.528571428571428470e+00 5.200000000000001066e+00 5.625000000000000000e+00
6.200000000000000178e+00 5.587499999999999467e+00 6.154545454545455208e+00 1.005000000000000071e+01
5.000000000000000000e+00 4.757142857142858006e+00 5.509999999999999787e+00 8.199999999999999289e+00
4.500000000000000000e+00 4.385714285714286120e+00 5.433333333333333570e+00 6.200000000000000178e+00
4.500000000000000000e+00 4.274999999999999467e+00 4.788888888888888751e+00 5.366666666666667140e+00
5.000000000000000000e+00 4.728571428571428648e+00 5.044444444444445175e+00 7.133333333333332860e+00
5.000000000000000000e+00 4.416666666666666963e+00 5.118181818181818166e+00 5.400000000000000355e+00
5.000000000000000000e+00 4.825000000000000178e+00 5.544444444444443398e+00 8.299999999999998934e+00
6.000000000000000000e+00 5.899999999999999467e+00 6.890000000000000568e+00 4.900000000000000355e+00
5.000000000000000000e+00 1.685000000000000142e+01 7.188888888888889106e+00 1.040000000000000036e+01
4.599999999999999645e+00 4.516666666666666607e+00 5.280000000000000249e+00 5.900000000000001243e+00
5.400000000000000355e+00 4.700000000000000178e+00 6.249999999999999112e+00 1.219999999999999929e+01
4.099999999999999645e+00 4.337500000000000355e+00 5.066666666666667318e+00 5.300000000000000711e+00
5.000000000000000000e+00 4.549999999999999822e+00 5.383333333333332860e+00 6.399999999999999467e+00
