Pos,Name,BV,Team,12_xMins,12_Pts
4,Benteke,6.3,10,30,1.757
2,Kouyaté,4.5,10,48,1.95
2,Kelly,3.9,10,1,0.037
3,Milivojevic,5.4,10,55,2.177
4,Ayew,5.8,10,70,2.943
3,Zaha,7,10,81,4.34
3,Schlupp,5.4,10,18,0.895
1,Butland,4.4,10,0,0
3,Riedewald,4.8,10,5,0.227
2,Jach,4.3,10,0,0
4,Mateta,5.3,10,0,0
3,Eze,5.9,10,1,0.055
2,Ferguson,4.5,10,0,0
2,Mitchell,4.5,10,87,3.118
3,Delph,4.4,12,41,1.251
3,Sigurdsson,6.8,12,0,0
2,Coleman,4.9,12,67,1.04
3,James,6.9,12,0,0
3,Bernard,5.5,12,0,0
2,Digne,5.1,12,88,1.323
2,Keane,5,12,89,1.193
1,Pickford,5,12,89,3.135
3,Allan,4.6,12,85,2.031
3,André Gomes,4.9,12,0,0
3,Doucouré,5.4,12,50,1.286
3,Iwobi,5.8,12,58,1.975
2,Mina,4.9,12,57,0.841
3,Davies,4.9,12,20,0.758
4,Calvert-Lewin,8,12,1,0.04
2,Holgate,4.2,12,0,0
2,Godfrey,4.8,12,52,0.743
4,Richarlison,7.4,12,83,2.75
1,Virgínia,4,12,0,0
3,Hernández,5.5,13,0,0
1,Casilla,4.5,13,0,0
2,Cooper,4.5,13,86,2.053
2,Ayling,4.3,13,0,0
3,Klich,5.4,13,72,2.918
4,Rodrigo,6.3,13,76,3.261
3,Dallas,5.1,13,88,2.555
4,Bamford,7.7,13,0,0
2,Llorente,4.5,13,74,1.857
3,Phillips,4.8,13,85,2.187
3,Costa,5.4,13,0,0
3,Roberts,4.8,13,61,2.527
2,Koch,4.3,13,4,0.104
3,Poveda,4.5,13,0,0
3,Raphinha,6.6,13,83,3.688
3,Shackleton,4.5,13,22,0.83
2,Struijk,4.4,13,45,1.206
1,Meslier,5,13,89,3.306
1,Schmeichel,5,14,89,3.326
2,Evans,5.4,14,75,1.941
3,Albrighton,5.2,14,0,0
3,Mendy,4.4,14,0,0
1,Ward,4,14,0,0
4,Vardy,10.8,14,83,3.604
3,Praet,4.9,14,0,0
2,Pereira,5.3,14,82,2.39
2,Amartey,3.9,14,39,1.152
2,Castagne,5.3,14,85,2.297
3,Tielemans,6.5,14,40,1.316
3,Pérez,5.8,14,23,1.143
3,Maddison,6.6,14,71,3.116
4,Iheanacho,7,14,50,2.323
3,Choudhury,4.4,14,4,0.16
3,Barnes,6.5,14,32,1.493
3,Ndidi,4.8,14,85,2.274
2,Söyüncü,4.9,14,86,2.203
2,Justin,4.9,14,0,0
2,Thomas,4.3,14,10,0.323
2,Fofana,4.3,14,0,0
3,Milner,4.9,15,7,0.387
3,Henderson,5,15,81,3.146
1,Adrián,4.4,15,0,0
2,Matip,5,15,50,2.283
3,Thiago,5.3,15,66,2.579
3,Shaqiri,5.9,15,0,0
3,Chamberlain,5.8,15,20,1.06
4,Firmino,8.8,15,0,0
2,van Dijk,6.7,15,87,3.98
3,Mané,11.9,15,84,6.032
1,Alisson,6,15,88,3.911
3,Fabinho,5.4,15,77,2.506
3,Salah,13,15,85,7.683
2,Robertson,7,15,85,4.217
4,Origi,4.9,15,19,1.254
3,Minamino,5.1,15,9,0.577
2,Alexander-Arnold,7.7,15,85,5.172
2,Gomez,4.7,15,0,0
3,Keita,5,15,0,0
3,Jota,7.5,15,79,5.035
2,Phillips,4.2,15,0,0
1,Kelleher,4.4,15,0,0
2,Konaté,5.1,15,41,1.785
3,Jones,5,15,10,0.506
2,Tsimikas,3.9,15,3,0.134
2,N.Williams,3.9,15,0,0
2,R.Williams,4.4,15,0,0
2,Davies,4,15,0,0
2,Walker,5.5,4,81,4.493
3,Gündogan,7.2,4,40,2.535
3,De Bruyne,11.9,4,73,5.848
2,Stones,5.3,4,63,3.796
2,Mendy,5.3,4,0,0
3,Mahrez,8.6,4,18,1.667
3,Sterling,10.6,4,48,3.903
2,Cancelo,6.5,4,79,5.243
1,Ederson,6,4,89,4.598
2,Aké,4.8,4,6,0.342
2,Laporte,5.5,4,33,2.002
1,Steffen,4.5,4,0,0
3,Bernardo,7.1,4,68,3.556
2,Dias,6.1,4,85,4.726
4,Jesus,8.7,4,72,4.543
2,Zinchenko,5.3,4,14,0.784
3,Foden,8.3,4,73,6.219
3,Rodrigo,5.5,4,85,3.611
3,Harrison,5.6,13,71,2.744
3,Torres,6.7,4,0,0
4,Cavani,8.4,16,21,1.447
1,de Gea,5,16,87,3.87
3,Matic,4.5,16,14,0.614
3,Pogba,7.5,16,0,0
2,Maguire,5.4,16,87,3.841
3,Fred,4.9,16,79,2.637
2,Shaw,5.2,16,84,4.401
3,Lingard,6.8,16,4,0.239
3,Fernandes,11.7,16,80,5.15
4,Martial,7.6,16,0,0
2,Telles,5,16,5,0.256
1,Henderson,4.8,16,0,0
3,Rashford,9.4,16,40,2.686
3,van de Beek,5.7,16,4,0.204
2,Tuanzebe,4.5,3,16,0.583
2,Lindelöf,4.8,16,88,3.702
3,McTominay,5.4,16,85,3.268
2,Bailly,4.9,16,35,1.638
3,James,6,13,30,1.392
2,Wan-Bissaka,5.2,16,87,3.823
3,Greenwood,7.4,16,55,3.416
2,Williams,4,11,20,0.666
3,Shelvey,5.3,2,5,0.22
2,Ritchie,4.9,2,84,3.647
2,Clark,4.4,2,85,2.957
1,Darlow,4.5,2,1,0.041
1,Dubravka,4.4,2,87,3.585
4,Wilson,7.3,2,82,4.511
3,Hendrick,4.8,2,1,0.042
3,Fraser,5.3,2,20,1.05
2,Lascelles,4.4,2,84,2.753
4,Gayle,5.3,2,3,0.194
2,Dummett,4.5,2,0,0
2,Manquillo,4,2,67,2.437
2,Krafth,4.3,2,56,2.088
3,Murphy,4.9,2,22,1.036
2,Schär,4.3,2,0,0
3,Hayden,4.5,2,73,2.24
4,Saint-Maximin,6.8,2,80,3.617
3,Almirón,5.2,2,68,2.775
3,S.Longstaff,4.5,2,58,2.228
4,Joelinton,5.8,2,22,1.1
2,Lewis,4.3,2,5,0.15
3,M.Longstaff,4.5,2,0,0
1,McGovern,4,11,0,0
1,Krul,4.5,11,89,3.395
4,Pukki,5.8,11,81,4.169
3,Stiepermann,5,11,0,0
3,Rupp,4.4,11,18,0.865
3,McLean,4.9,11,70,2.298
2,Hanley,4.4,11,3,0.084
3,Hernández,4.9,11,0,0
2,Byram,4.4,11,0,0
4,Hugill,5.4,11,0,0
3,Dowell,5.2,11,57,2.623
2,Zimmermann,4.4,11,0,0
3,Cantwell,5.3,11,0,0
2,Aarons,4.3,11,88,2.619
2,Sørensen,4.3,11,9,0.323
3,Placheta,4.8,11,9,0.464
4,Idah,4.9,11,11,0.629
3,Martin,5,11,0,0
2,Omobamidele,3.9,11,69,1.97
